"","id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
"1",1,"11334.jpg","Cech",3,"a",11334,"Petr","Cech",1,"",50,NA,NA,NA,"0.6","0.6",0,0,0,0,FALSE,0,"1.7","3.0",2022,2821,2022,2821,0,0,0,0,3,3,"3.0","2.1","2.6",FALSE,90,0,0,0,2,0,0,0,0,0,6,0,24,"47.0","0.0","0.0","4.7",0,"GKP","ARS"
"2",2,"80201.jpg","Leno",3,"a",80201,"Bernd","Leno",19,"",50,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"2.4","0.0",5970,1271,5970,1271,0,0,0,0,0,0,"0.0","2.1","2.6",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"GKP","ARS"
"3",3,"51507.jpg","Koscielny",3,"i",51507,"Laurent","Koscielny",6,"Achilles injury - Unknown return date",55,"2018-07-05T14:31:07Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.1","0.0",645,90,645,90,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
"4",4,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",2,"",55,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"15.3","1.0",25372,6597,25372,6597,0,0,0,0,1,1,"1.0","2.2","2.7",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,17,"27.0","11.7","23.0","6.2",0,"DEF","ARS"
"5",5,"38411.jpg","Monreal",3,"d",38411,"Nacho","Monreal",18,"Knee injury - 25% chance of playing",55,"2018-08-05T10:31:10Z",25,25,"0.0","0.0",0,0,0,0,FALSE,0,"0.8","0.0",4727,102,4727,102,0,0,0,0,0,0,"0.0","0.5","0.7",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
"6",6,"156074.jpg","Holding",3,"a",156074,"Rob","Holding",16,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.7","0.0",1806,825,1806,825,0,0,0,0,0,0,"0.0","1.2","1.7",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
"7",7,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",55,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"1.5","1.0",2672,1062,2672,1062,0,0,0,0,1,1,"1.0","2.2","2.7",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,16,"29.4","0.2","17.0","4.7",0,"DEF","ARS"
"8",8,"111457.jpg","Kolasinac",3,"i",111457,"Sead","Kolasinac",31,"Knee injury - Expected back 20 Oct",50,"2018-08-02T07:01:09Z",0,0,"0.0","0.0",0,0,0,0,FALSE,0,"0.6","0.0",4691,146,4691,146,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
"9",10,"233963.jpg","Mavropanos",3,"a",233963,"Konstantinos","Mavropanos",27,"",50,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.2","0.0",748,257,748,257,0,0,0,0,0,0,"0.0","1.6","2.1",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
"10",11,"27335.jpg","Lichtsteiner",3,"a",27335,"Stephan","Lichtsteiner",12,"",50,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"2.5","1.0",5573,2442,5573,2442,0,0,0,0,1,1,"1.0","1.6","2.1",FALSE,55,0,0,0,1,0,0,0,0,0,0,0,0,"1.0","5.8","2.0","0.9",0,"DEF","ARS"
"11",12,"39476.jpg","Sokratis",3,"a",39476,"Sokratis","Papastathopoulos",5,"",55,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"2.7","0.0",6563,1434,6563,1434,0,0,0,0,0,0,"0.0","2.2","2.7",FALSE,90,0,0,0,2,0,0,0,1,0,0,0,13,"16.6","10.3","0.0","2.7",0,"DEF","ARS"
"12",13,"37605.jpg","Özil",3,"a",37605,"Mesut","Özil",10,"",85,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"5.2","2.0",12062,4307,12062,4307,0,0,0,0,2,2,"2.0","2.5","3.0",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,10,"9.2","24.7","6.0","4.0",0,"MID","ARS"
"13",14,"41792.jpg","Ramsey",3,"a",41792,"Aaron","Ramsey",8,"",75,"2018-08-02T07:01:09Z",100,100,"0.1","0.1",0,0,0,0,FALSE,0,"1.4","1.0",2489,1543,2489,1543,0,0,0,0,1,1,"1.0","2.1","2.6",FALSE,53,0,0,0,1,0,0,0,0,0,0,0,7,"9.4","10.8","9.0","2.9",0,"MID","ARS"
"14",15,"153133.jpg","Iwobi",3,"a",153133,"Alex","Iwobi",17,"",55,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.8","0.0",2783,449,2783,449,0,0,0,0,0,0,"0.0","1.2","1.7",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
"15",16,"153256.jpg","Elneny",3,"a",153256,"Mohamed","Elneny",4,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"2.8","0.0",7417,1937,7417,1937,0,0,0,0,0,0,"0.0","0.8","1.3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
"16",17,"84450.jpg","Xhaka",3,"a",84450,"Granit","Xhaka",34,"",55,NA,NA,NA,"0.2","0.2",0,0,0,0,FALSE,0,"4.6","1.0",12651,2416,12651,2416,0,0,0,0,1,1,"1.0","1.2","1.7",FALSE,69,0,0,0,2,0,0,0,1,0,0,0,10,"8.8","1.3","0.0","1.0",0,"MID","ARS"
"17",18,"57249.jpg","Mkhitaryan",3,"a",57249,"Henrikh","Mkhitaryan",7,"",70,NA,NA,NA,"0.3","0.3",0,0,0,0,FALSE,0,"13.3","2.0",30083,8338,30083,8338,0,0,0,0,2,2,"2.0","1.9","2.4",FALSE,90,0,0,0,2,0,0,0,0,0,0,0,11,"16.6","22.3","42.0","8.1",0,"MID","ARS"
"18",19,"200641.jpg","Nelson",3,"a",200641,"Reiss","Nelson",48,"",45,NA,NA,NA,"0.0","0.0",0,0,0,0,FALSE,0,"0.8","0.0",2139,474,2139,474,0,0,0,0,0,0,"0.0","0.8","1.3",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"MID","ARS"
