"","player_id","id","season_name","element_code","start_cost","end_cost","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","season"
"12",1,7502,"2017/18",11334,55,53,124,3039,0,0,11,48,0,1,0,1,0,90,7,627,"722.4","0.0","0.0","71.9",0,12
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,7569,"2017/18",51507,60,60,100,2225,2,0,9,32,0,0,0,4,0,0,16,556,"692.0","123.8","137.0","95.5",0,12
"5",4,7572,"2017/18",98745,60,59,132,3050,2,4,12,44,0,0,0,5,0,0,11,656,"554.0","561.0","484.0","160.1",0,12
"6",5,7575,"2017/18",38411,55,57,130,2241,5,2,10,29,0,0,0,3,0,0,15,604,"693.6","238.7","305.0","124.0",0,12
"6.1",6,7576,"2017/18",156074,50,44,27,819,0,1,3,17,0,0,0,3,0,0,1,196,"212.2","39.3","24.0","27.5",0,12
"7",7,7577,"2017/18",69140,55,54,109,2272,3,1,10,30,0,0,0,6,0,0,13,610,"836.6","129.9","202.0","117.0",0,12
"1",8,7578,"2017/18",111457,60,58,108,2146,2,4,10,30,0,0,0,3,0,0,6,510,"443.2","334.9","404.0","118.3",0,12
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,7763,"2017/18",233963,45,42,4,194,0,0,1,5,0,0,0,0,1,0,0,41,"52.2","1.3","2.0","5.5",0,12
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,7785,"2017/18",37605,95,93,112,2161,4,9,8,36,0,0,0,4,0,0,11,506,"640.6","1287.5","555.0","248.6",0,12
"14",14,7787,"2017/18",41792,70,68,130,1844,7,10,9,25,0,0,0,0,0,0,12,503,"631.2","478.3","734.0","184.2",0,12
"15",15,7790,"2017/18",153133,55,51,89,1827,3,5,9,26,0,0,0,1,0,0,2,426,"430.0","592.9","635.0","165.6",0,12
"16",16,7791,"2017/18",153256,45,42,22,865,0,1,3,12,0,0,0,3,1,0,0,156,"138.2","194.4","92.0","42.5",0,12
"17",17,7792,"2017/18",84450,55,51,109,3259,1,8,12,50,0,0,0,10,0,0,3,593,"753.4","822.8","378.0","195.3",0,12
"18",18,7902,"2017/18",57249,80,77,107,1712,3,9,12,17,0,0,0,2,0,0,9,411,"506.8","727.8","400.0","163.8",0,12
"19",19,7988,"2017/18",200641,50,47,5,144,0,0,0,3,0,0,0,0,0,0,0,23,"12.0","29.7","11.0","5.3",0,12
"20",20,8015,"2017/18",154043,45,45,25,908,0,0,3,16,0,0,0,1,0,0,0,160,"168.4","141.3","67.0","37.8",0,12
"21",21,8055,"2017/18",50175,75,73,70,1178,5,2,4,21,0,0,0,1,0,0,6,249,"309.8","212.8","435.0","96.0",0,12
"22",22,8057,"2017/18",59966,105,103,138,2197,14,5,10,28,0,0,0,1,0,0,11,543,"725.6","566.0","1291.0","258.0",0,12
"23",23,8140,"2017/18",54694,105,108,87,1056,10,4,4,15,0,0,1,0,0,0,12,354,"484.0","207.1","580.0","127.1",0,12
