"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
1,"Cech","Petr","Cech",526,"2018-08-18T16:30:00Z","18 Aug 17:30",3,2,FALSE,2,3,50,188,90038,6059,5871,0,0,90,0,0,0,3,0,0,0,0,0,8,0,26,"53.0","0.0","0.0","5.3",0,0,0,1,8,0,0,0,35,25,0,0,0,0,0,0,0,0,0,1,14,6
2,"Leno","Bernd","Leno",527,"2018-08-18T16:30:00Z","18 Aug 17:30",3,2,FALSE,2,0,50,-14370,107349,1857,16227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,6
3,"Koscielny","Laurent","Koscielny",528,"2018-08-18T16:30:00Z","18 Aug 17:30",3,2,FALSE,2,0,55,-1179,6682,120,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,6
4,"Bellerín","Héctor","Bellerín",529,"2018-08-18T16:30:00Z","18 Aug 17:30",3,2,FALSE,2,1,55,-62938,708875,12676,75614,0,0,90,0,0,0,3,0,0,0,0,0,0,0,16,"17.2","16.8","4.0","3.8",0,1,1,5,5,1,1,0,46,36,0,0,0,0,2,0,0,0,0,4,14,6
5,"Monreal","Nacho","Monreal",530,"2018-08-18T16:30:00Z","18 Aug 17:30",3,2,FALSE,2,1,55,-9556,36147,407,9963,0,0,90,0,0,0,3,0,0,0,0,0,0,0,14,"15.2","16.2","22.0","5.3",0,1,0,5,6,1,0,0,35,31,0,0,0,0,2,0,0,0,0,5,14,6
6,"Holding","Rob","Holding",531,"2018-08-18T16:30:00Z","18 Aug 17:30",3,2,FALSE,2,0,45,-3242,34584,1182,4424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6
7,"Mustafi","Shkodran","Mustafi",532,"2018-08-18T16:30:00Z","18 Aug 17:30",3,2,FALSE,2,0,55,-5669,70396,1711,7380,0,0,90,0,0,0,3,0,0,0,1,0,0,0,11,"27.6","10.2","0.0","3.8",0,0,0,10,5,1,0,0,64,56,0,0,0,0,0,0,0,3,0,7,14,6
8,"Kolasinac","Sead","Kolasinac",533,"2018-08-18T16:30:00Z","18 Aug 17:30",3,2,FALSE,2,0,50,-9293,24101,209,9502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,6
9,"Chambers","Calum","Chambers",534,"2018-08-18T14:00:00Z","18 Aug 15:00",3,1,FALSE,2,1,45,-6864,93666,3359,10223,0,0,90,0,0,0,3,0,0,0,0,0,0,0,15,"24.6","0.1","0.0","2.5",0,0,0,15,3,0,0,0,39,29,0,0,0,1,0,0,0,0,0,9,19,17
10,"Mavropanos","Konstantinos","Mavropanos",535,"2018-08-18T16:30:00Z","18 Aug 17:30",3,2,FALSE,2,0,50,-1679,10573,381,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,6
