"id","photo","web_name","team_code","status","code","first_name","second_name","squad_number","news","now_cost","news_added","chance_of_playing_this_round","chance_of_playing_next_round","value_form","value_season","cost_change_start","cost_change_event","cost_change_start_fall","cost_change_event_fall","in_dreamteam","dreamteam_count","selected_by_percent","form","transfers_out","transfers_in","transfers_out_event","transfers_in_event","loans_in","loans_out","loaned_in","loaned_out","total_points","event_points","points_per_game","ep_this","ep_next","special","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","element_type","team"
1,"11334.jpg","Cech",3,"i",11334,"Petr","Cech",1,"Hamstring injury - Expected back 28 Oct",50,"2018-09-29T17:31:14Z",NA,0,"0.9","4.8",0,0,0,0,FALSE,0,"2.1","4.7",66189,74775,15831,809,0,0,0,0,24,1,"3.4","5.2","0.0",FALSE,585,0,0,1,9,0,0,0,0,0,27,3,130,"205.0","0.0","0.0","20.4",0,"GKP","ARS"
2,"80201.jpg","Leno",3,"a",80201,"Bernd","Leno",19,"",48,NA,NA,NA,"0.1","0.4",-2,0,2,0,FALSE,0,"1.3","0.7",64710,10552,1009,5805,0,0,0,0,2,2,"2.0","1.2","1.7",FALSE,42,0,0,0,0,0,0,0,0,0,3,0,11,"26.4","0.0","0.0","2.6",0,"GKP","ARS"
3,"51507.jpg","Koscielny",3,"i",51507,"Laurent","Koscielny",6,"Achilles injury - Expected back 11 Nov",54,"2018-07-05T14:31:07Z",0,0,"0.0","0.0",-1,0,1,0,FALSE,0,"0.1","0.0",3686,407,77,19,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
4,"98745.jpg","Bellerín",3,"a",98745,"Héctor","Bellerín",2,"",54,NA,NA,NA,"1.0","4.3",-1,0,1,0,FALSE,0,"10.3","5.3",376760,147336,6388,9814,0,0,0,0,23,8,"3.3","5.8","6.3",FALSE,630,0,1,2,9,0,0,0,1,0,0,2,131,"119.4","81.2","81.0","28.2",0,"DEF","ARS"
5,"38411.jpg","Monreal",3,"a",38411,"Nacho","Monreal",18,"",55,"2018-08-05T10:31:10Z",100,100,"0.9","4.5",0,0,0,0,FALSE,1,"2.3","4.7",58343,123487,2364,5939,0,0,0,0,25,6,"4.2","5.2","5.7",FALSE,540,1,0,2,7,0,0,0,1,0,0,2,104,"125.2","61.8","157.0","34.4",0,"DEF","ARS"
6,"156074.jpg","Holding",3,"a",156074,"Rob","Holding",16,"",44,NA,NA,NA,"0.7","2.3",-1,0,1,0,FALSE,0,"0.5","3.3",17405,5374,390,2178,0,0,0,0,10,9,"5.0","3.8","4.3",FALSE,141,0,0,1,0,0,0,0,0,0,0,3,40,"35.0","1.4","2.0","3.9",0,"DEF","ARS"
7,"69140.jpg","Mustafi",3,"a",69140,"Shkodran","Mustafi",20,"",54,NA,NA,NA,"0.8","4.4",-1,0,1,0,FALSE,0,"1.4","4.3",35704,28146,1354,3573,0,0,0,0,24,5,"3.4","4.8","5.3",FALSE,630,1,0,2,9,0,0,0,2,0,0,1,135,"201.0","31.3","91.0","32.4",0,"DEF","ARS"
8,"111457.jpg","Kolasinac",3,"a",111457,"Sead","Kolasinac",31,"",49,"2018-08-02T07:01:09Z",100,100,"0.0","0.0",-1,0,1,0,FALSE,0,"0.3","0.0",19800,812,182,187,0,0,0,0,0,0,"0.0","0.5","1.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
10,"233963.jpg","Mavropanos",3,"i",233963,"Konstantinos","Mavropanos",27,"Groin Injury - Expected back 28 Oct",48,"2018-09-25T09:01:13Z",0,0,"0.0","0.0",-2,0,2,0,FALSE,0,"0.1","0.0",7573,930,315,7,0,0,0,0,0,0,"0.0","0.0","0.0",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"DEF","ARS"
11,"27335.jpg","Lichtsteiner",3,"a",27335,"Stephan","Lichtsteiner",12,"",47,NA,NA,NA,"0.0","0.2",-3,0,3,0,FALSE,0,"1.1","0.0",83783,9335,1900,178,0,0,0,0,1,0,"1.0","0.5","1.0",FALSE,55,0,0,0,1,0,0,0,0,0,0,0,0,"1.0","5.8","2.0","0.9",0,"DEF","ARS"
