"player_id","web_name","first_name","second_name","id","kickoff_time","kickoff_time_formatted","team_h_score","team_a_score","was_home","round","total_points","value","transfers_balance","selected","transfers_in","transfers_out","loaned_in","loaned_out","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","ea_index","open_play_crosses","big_chances_created","clearances_blocks_interceptions","recoveries","key_passes","tackles","winning_goals","attempted_passes","completed_passes","penalties_conceded","big_chances_missed","errors_leading_to_goal","errors_leading_to_goal_attempt","tackled","offside","target_missed","fouls","dribbles","element","fixture","opponent_team"
1,"Cech","Petr","Cech",16217,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,0,48,-333,70799,65,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291,14
2,"Leno","Bernd","Leno",16218,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,9,48,-3408,146874,2521,5929,0,0,90,0,0,1,0,0,0,0,0,0,4,2,29,"31.2","0.0","0.0","3.1",0,0,0,0,9,0,0,0,31,16,0,0,0,0,0,0,0,0,0,2,291,14
3,"Koscielny","Laurent","Koscielny",16219,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,6,54,-1064,48844,2519,3583,0,0,90,0,0,1,0,0,0,0,0,0,0,0,24,"17.6","10.4","2.0","3.0",0,0,0,4,2,1,0,0,39,32,0,0,0,0,0,0,0,1,0,3,291,14
4,"Bellerín","Héctor","Bellerín",16220,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,0,54,-2410,291412,62,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,291,14
5,"Monreal","Nacho","Monreal",16221,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,6,54,-1955,52983,389,2344,0,0,90,0,0,1,0,0,0,0,0,0,0,0,22,"12.0","0.6","0.0","1.3",0,0,0,3,3,0,0,0,40,30,0,0,0,0,0,0,0,0,0,5,291,14
6,"Holding","Rob","Holding",16222,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,0,43,-141,25069,12,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,291,14
7,"Mustafi","Shkodran","Mustafi",16223,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,0,54,-1126,62217,395,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,291,14
8,"Kolasinac","Sead","Kolasinac",16224,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,5,50,-53750,369717,2598,56348,0,0,90,0,0,1,0,0,0,0,1,0,0,0,17,"4.0","7.6","2.0","1.4",0,1,0,1,11,0,0,0,44,33,0,0,0,0,2,1,0,1,0,8,291,14
9,"Chambers","Calum","Chambers",16825,"2019-03-17T14:15:00Z","17 Mar 14:15",1,2,TRUE,31,1,42,820,65967,1831,1011,0,0,90,0,0,0,2,0,0,0,0,0,0,0,11,"17.0","0.2","0.0","1.7",0,0,0,7,1,0,0,0,34,27,0,0,0,0,0,0,0,0,0,9,305,12
10,"Mavropanos","Konstantinos","Mavropanos",16226,"2019-03-10T16:30:00Z","10 Mar 16:30",2,0,TRUE,30,0,47,-23,6475,51,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,291,14
