"","Name","Position","Team","Cost","Creativity","Influence","Threat","ICT","Goals_conceded","Goals_scored","Assists","Own_goals","Penalties_missed","Penalties_saved","Saves","Yellow_cards","Red_cards","TSB","Minutes","Bonus","Points","status","now_cost","total_points","ObjPoints","squad","squad_no"
"1","Fabianski","GKP","WHU",45,10,1087.8,0,109.9,56,0,0,0,0,3,137,0,0,23.3,3420,14,157,"a",45,1,148.789473684211,"first",1
"2","Azpilicueta","DEF","CHE",65,535.7,967.4,168,167.5,38,2,6,1,0,0,0,1,0,15.8,3330,25,175,"a",65,6,166.105263157895,"first",2
"3","Alonso","DEF","CHE",65,549.6,697.8,822,207.1,30,7,2,0,0,0,0,6,0,16.9,2855,15,165,"a",65,11,156.894736842105,"first",3
"4","Otamendi","DEF","MCI",65,224.6,846.6,363,143.7,25,4,0,1,0,0,0,9,0,9.2,2966,21,156,"a",65,0,147.789473684211,"first",4
"5","Davies","DEF","TOT",60,698.8,610,201,151,20,2,7,0,0,0,0,3,0,8.4,2323,14,143,"a",60,2,135.578947368421,"first",5
"6","Salah","MID","LIV",130,942.5,1496.2,2109,454.4,29,32,12,0,1,0,0,1,0,47.5,2905,26,303,"a",130,8,287.473684210526,"first",6
"7","Shaqiri","MID","LIV",75,1151.6,718,676,255.2,58,8,9,0,1,0,0,5,0,3.9,3039,19,155,"a",74,1,146.894736842105,"first",7
"8","Milivojevic","MID","CRY",65,379,873.8,432,168.6,52,10,2,0,1,0,0,8,0,12.3,3079,21,144,"a",65,3,136.578947368421,"first",8
"9","Fernandinho","MID","MCI",55,511.9,800.2,411,172.4,24,5,4,0,0,0,0,7,0,5.8,2880,9,120,"a",55,3,113.842105263158,"first",9
"10","Vardy","FWD","LEI",90,439.9,822.8,1222,248.6,57,20,2,0,1,0,0,3,0,9.1,3248,28,183,"a",90,6,173.684210526316,"first",10
"11","Arnautovic","FWD","WHU",70,543,713.8,1155,241.1,50,11,7,0,0,0,0,5,1,24.4,2309,12,144,"a",70,2,136.526315789474,"first",11
"12","Ryan","GKP","BHA",45,0,911.6,0,91.1,54,0,0,0,0,2,124,0,0,6.1,3420,13,146,"a",45,2,138.421052631579,"reserves",12
"13","Lascelles","DEF","NEW",50,77.2,800,234,111.5,31,3,0,0,0,0,0,5,0,8.8,2927,9,116,"a",50,1,109.947368421053,"reserves",13
"14","McArthur","MID","CRY",50,333,490.6,566,138.9,35,5,2,0,0,0,0,5,0,2.1,2425,9,101,"a",50,3,95.8421052631579,"reserves",14
"15","Zaha","FWD","CRY",70,716.9,668,1125,251,31,9,7,0,0,0,0,5,0,30.9,2549,8,136,"a",70,5,129.105263157895,"reserves",15
