"","Name","Position","Team","Cost","Creativity","Influence","Threat","ICT","Goals_conceded","Goals_scored","Assists","Own_goals","Penalties_missed","Penalties_saved","Saves","Yellow_cards","Red_cards","TSB","Minutes","Bonus","Points","status","now_cost","total_points","ict_index","ICT_mult0","ICT_mult1","ObjPoints","squad","squad_no"
"1","Fabianski","GKP","WHU",45,10,1087.8,0,109.9,56,0,0,0,0,3,137,0,0,23.3,3420,14,157,"a",45,1,"3.0",1.03627860915493,1.02432432432432,154.186719673482,"first",1
"2","Azpilicueta","DEF","CHE",65,535.7,967.4,168,167.5,38,2,6,1,0,0,0,1,0,15.8,3330,25,175,"a",65,6,"3.3",1.05529269366197,1.02675675675676,175.280659240829,"first",2
"3","Alonso","DEF","CHE",65,549.6,697.8,822,207.1,30,7,2,0,0,0,0,6,0,16.9,2855,15,165,"a",65,11,"5.1",1.06836487676056,1.04135135135135,167.605186781249,"first",3
"4","Davies","DEF","TOT",60,698.8,610,201,151,20,2,7,0,0,0,0,3,0,8.4,2323,14,143,"a",60,2,"6.9",1.04984595070423,1.05594594594595,142.33765100024,"first",4
"5","Salah","MID","LIV",130,942.5,1496.2,2109,454.4,29,32,12,0,1,0,0,1,0,47.5,2905,26,303,"a",130,8,"16.9",1.15,1.13702702702703,330.589274537696,"first",5
"6","Mahrez","MID","MCI",90,924,966,932,282.6,51,12,13,0,0,0,0,2,0,8.9,2948,19,195,"a",90,1,"4.4",1.09328785211268,1.03567567567568,202.02505455743,"first",6
"7","Milivojevic","MID","CRY",65,379,873.8,432,168.6,52,10,2,0,1,0,0,8,0,12.3,3079,21,144,"a",65,3,"5.1",1.05565580985915,1.04135135135135,144.17810069521,"first",7
"8","Fernandinho","MID","MCI",55,511.9,800.2,411,172.4,24,5,4,0,0,0,0,7,0,5.8,2880,9,120,"a",55,3,"1.9",1.05691021126761,1.01540540540541,120.314330134434,"first",8
"9","Vardy","FWD","LEI",90,439.9,822.8,1222,248.6,57,20,2,0,1,0,0,3,0,9.1,3248,28,183,"a",90,6,"9.1",1.08206426056338,1.07378378378378,187.934861947288,"first",9
"10","Arnautovic","FWD","WHU",70,543,713.8,1155,241.1,50,11,7,0,0,0,0,5,1,24.4,2309,12,144,"a",70,2,"2.6",1.07958846830986,1.02108108108108,147.386077474806,"first",10
"11","Zaha","FWD","CRY",70,716.9,668,1125,251,31,9,7,0,0,0,0,5,0,30.9,2549,8,136,"a",70,5,"9.8",1.08285651408451,1.07945945945946,139.801581251377,"first",11
"12","Ryan","GKP","BHA",45,0,911.6,0,91.1,54,0,0,0,0,2,124,0,0,6.1,3420,13,146,"a",45,2,"2.3",1.03007262323944,1.01864864864865,142.582534272134,"reserves",12
"13","Lascelles","DEF","NEW",50,77.2,800,234,111.5,31,3,0,0,0,0,0,5,0,8.8,2927,9,116,"a",50,1,"2.1",1.03680677816901,1.01702702702703,113.993135781259,"reserves",13
"14","Stephens","MID","BHA",45,272.5,625.8,176,107.7,50,0,3,0,0,0,0,6,0,11.5,3240,2,87,"a",45,1,"3.8",1.03555237676056,1.03081081081081,85.4055701483081,"reserves",14
"15","Depoitre","FWD","HUD",55,191.4,352,451,99.6,34,6,2,0,0,0,0,1,0,1.8,1807,14,94,"a",55,1,"1.8",1.03287852112676,1.01459459459459,92.0339501232144,"reserves",15
